code,
ady,
ae,
aeb,
aii,
ajp,
apc,
apd,
ar,
ar_BH,
ar_DZ,
ar_EG,
ar_KW,
ar_LY,
ar_MA,
ar_SA,
ar_YE,
ara,
arc,
arq,
ars,
arz,
ave,
azb,
bal,
bej,
bgn,
bjn,
bqi,
brh,
ckb,
ckb_IR,
cop,
dcc,
dje,
dv,
dyu,
egy,
fa,
fa_AF,
fas,
ffm,
fuv,
glk,
ha,
haz,
he,
heb,
hnd,
hno,
inh,
jpr,
khw,
kmr,
ks,
kum,
lki,
lrc,
luz,
man,
men,
mey,
mfa,
mnk,
ms_Arab,
mzn,
nqo,
pa_PK,
pal,
per,
phn,
prs,
ps,
rhg,
rif,
sam,
sd,
sdh,
shi,
skr,
snk,
srr,
sus,
swb,
syc,
syr,
tly,
tsg,
tzm,
ug,
ur,
ur_IN,
urd,
yi,
