code,name,nplurals,formula
uk,Ukrainian,3,(n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2)
ur,Urdu,2,(n != 1)
uz,Uzbek,2,(n != 1)
vi,Vietnamese,1,0
vo,Volapük,2,(n != 1)
wa,Walloon,2,(n > 1)
wo,Wolof,2,(n != 1)
xh,Xhosa,2,(n != 1)
yi,Yiddish,2,(n != 1)
yo,Yoruba,1,0
za,Zhuang,1,0
zh_Hans,Chinese (Simplified Han script),1,0
zh_Hant,Chinese (Traditional Han script),1,0
zu,Zulu,2,(n != 1)
