code,population
rkt,16274502
rkt_BD,10572315
rkt_IN,5702187
rm,42019
rm_CH,42019
rmf,5014
rmf_FI,5014
rmo,24371
rmo_CH,24371
rmt,1613542
rmt_IR,1613542
rmu,9488
rmu_SE,9488
rn,7475454
rn_BI,7475454
rng,1023338
rng_MZ,1023338
ro,22187407
ro_CA,101774
ro_HU,96741
ro_IL,320992
ro_MD,2119635
ro_RO,19172610
ro_RS,147255
ro_UA,228399
rob,293728
rob_ID,293728
rof,433290
rof_TZ,433290
rtm,2527
rtm_FJ,2527
ru,195841151
ru_BG,1602387
ru_BY,1137350
ru_CA,211086
ru_CN,13940
ru_DE,4809582
ru_EE,688027
ru_FI,45130
ru_GE,359730
ru_IL,954302
ru_KG,2147364
ru_KZ,13746168
ru_LT,2185168
ru_LV,714867
ru_MD,100935
ru_MN,4118
ru_PL,6890814
ru_RU,133218679
ru_SJ,1199
ru_TJ,1064840
ru_TM,663435
ru_UA,20204534
ru_US,798333
ru_UZ,4279156
rue,527074
rue_UA,527074
rug,9591
rug_SB,9591
rw,11083625
rw_CD,386764
rw_RW,9788548
rw_UG,908313
rwk,128816
rwk_TZ,128816
ryu,966403
ryu_JP,966403
sa,15913
sa_IN,15913
saf,4107
saf_GH,4107
sah,453510
sah_RU,453510
saq,246228
saq_KE,246228
sas,2590152
sas_ID,2590152
sat,7293495
sat_IN,7293495
sav,236046
sav_SN,236046
saz,384566
saz_IN,384566
sbp,117105
sbp_TZ,117105
sc,1060845
sc_IT,1060845
sck,2386962
sck_IN,2386962
scn,511702
scn_IT,511702
sco,1644027
sco_GB,1644027
sd,38472984
sd_Deva,1856526
sd_Deva_IN,1856526
sd_IN,3447834
sd_PK,35025150
sdc,106084
sdc_IT,106084
sdh,3142162
sdh_IR,3142162
se,51529
se_FI,2005
se_NO,15855
se_SE,33668
sef,1181687
sef_CI,1181687
seh,1384517
seh_MZ,1384517
sei,900
sei_MX,900
ses,664815
ses_ML,664815
sg,2935521
sg_CF,2935521
sgs,0
sgs_LT,0
shi,3093867
shi_Latn,3093867
shi_Latn_MA,3093867
shi_MA,3093867
shn,3687984
shn_MM,3621766
shn_TH,66218
si,15564656
si_LK,15564656
sid,3783955
sid_ET,3783955
sk,6680269
sk_CZ,1712400
sk_HU,11726
sk_RS,59603
sk_SK,4896540
skr,28020120
skr_PK,28020120
sl,1973179
sl_AT,32779
sl_HU,4983
sl_IT,106084
sl_SI,1829331
sli,11867
sli_PL,11867
sly,144194
sly_ID,144194
sm,252716
sm_AS,48942
sm_WS,203774
sma,295
sma_SE,295
smj,1530
smj_SE,1530
smn,612
smn_FI,612
sms,612
sms_FI,612
sn,11782503
sn_ZW,11782503
snf,37767
snf_SN,37767
snk,1153650
snk_ML,1153650
so,16911644
so_CA,49002
so_DJ,377939
so_ET,6486780
so_GB,131522
so_KE,695862
so_SO,9170538
sou,5518192
sou_TH,5518192
sq,6791906
sq_AL,3074580
sq_GR,9970
sq_ME,48178
sq_MK,531492
sq_RS,1332312
sq_TR,17223
sq_XK,1778148
sr,7516818
sr_BA,383559
sr_CA,64079
sr_Latn,8085593
sr_Latn_BA,383559
sr_Latn_ME,609859
sr_Latn_RO,25563
sr_Latn_RS,6942048
sr_Latn_RU,4960
sr_Latn_TR,22964
sr_Latn_XK,96638
sr_ME,30492
sr_RS,6942048
sr_XK,96638
srn,414506
srn_SR,414506
srr,1731004
srr_SN,1731004
srx,464131
srx_IN,464131
ss,2212379
ss_LS,47263
ss_SZ,640598
ss_ZA,1524517
ssy,218923
ssy_ER,218923
st,6390567
st_LS,1929943
st_ZA,4460624
stq,961
stq_DE,961
su,32043120
su_ID,32043120
suk,5094093
suk_TZ,5094093
sus,1378014
sus_GN,1378014
sv,12932871
sv_AX,25938
sv_DK,763023
sv_FI,2451534
sv_SE,9692375
sw,171610296
sw_BI,6407
sw_CD,50890000
sw_KE,35328414
sw_MZ,9330
sw_SO,235142
sw_TZ,52697520
sw_UG,32439750
sw_YT,2715
sw_ZA,1016
swb,170720
swb_YT,170720
swg,801597
swg_DE,801597
swv,3713052
swv_IN,3713052
sxn,245663
sxn_ID,245663
syl,8132550
syl_BD,8132550
syr,210658
syr_IQ,194363
syr_SY,16294
szl,497669
szl_PL,497669
ta,85616159
ta_CA,184701
ta_GB,2104355
ta_IN,78239310
ta_LK,3433380
ta_MU,34484
ta_MY,1371388
ta_RE,118137
ta_SG,130402
taj,130409
taj_NP,130409
tbw,10044
tbw_PH,10044
tcy,1989135
tcy_IN,1989135
tdd,264863
tdd_CN,264863
tdg,394262
tdg_NP,394262
tdh,36393
tdh_NP,36393
te,95478480
te_IN,95478480
tem,1722481
tem_SL,1722481
teo,2082973
teo_KE,396106
teo_UG,1686867
tet,816394
tet_TL,816394
tg,8873670
tg_Arab,770553
tg_Arab_PK,770553
tg_TJ,8873670
th,55181920
th_TH,55181920
thl,606558
thl_NP,606558
thq,303279
thq_NP,303279
thr,363934
thr_NP,363934
ti,10145910
ti_ER,3648720
ti_ET,6486780
ti_IL,10410
tig,1094616
tig_ER,1094616
tiv,3424448
tiv_NG,3424448
tk,6870838
tk_AF,622944
tk_IR,2377852
tk_TM,3870040
tkl,1284
tkl_TK,1284
tkr,16329
tkr_AZ,16329
tkt,72786
tkt_NP,72786
tly,1000168
tly_AZ,1000168
tmh,1776965
tmh_ML,410621
tmh_NE,1366344
tn,6113428
tn_BW,1436682
tn_NA,14728
tn_ZA,4630015
tn_ZW,32001
tnr,3304
tnr_SN,3304
to,100790
to_TO,100790
tog,207726
tog_MW,207726
tpi,5154216
tpi_PG,5154216
tr,80360705
tr_BG,766359
tr_CA,37694
tr_CY,291336
tr_DE,2003992
tr_GB,131522
tr_GR,127285
tr_MK,74408
tr_NL,207364
tr_RO,27693
tr_TR,76276275
tr_UA,184476
tr_UZ,232297
tru,3034
tru_TR,3034
trv,4720
trv_TW,4720
trw,123755
trw_PK,123755
ts,4880932
ts_MZ,2377757
ts_SZ,18776
ts_ZA,2484398
tsd,201
tsd_GR,201
tsg,1200991
tsg_PH,1200991
tsj,117347
tsj_BT,117347
tt,1984107
tt_RU,1984107
ttj,821807
ttj_UG,821807
tts,16554576
tts_TH,16554576
ttt,22452
ttt_AZ,22452
tum,1780514
tum_MW,1780514
tvl,9867
tvl_TV,9867
twq,7970
twq_NE,7970
ty,91487
ty_PF,91487
tyv,184238
tyv_RU,184238
tzm,3485046
tzm_MA,3485046
udm,538543
udm_RU,538543
ug,7670114
ug_AF,3004
ug_CN,7667110
ug_Cyrl,382851
ug_Cyrl_KZ,381838
ug_Cyrl_MN,1013
uk,29348975
uk_CA,75388
uk_MD,471030
uk_PL,149300
uk_RS,0
uk_SK,103371
uk_UA,28549885
uli,2970
uli_FM,2970
umb,9431467
umb_AO,9431467
und,323
und_AQ,300
und_BV,1
und_CP,1
und_GS,20
und_HM,1
unr,1246524
unr_Deva,5762
unr_Deva_NP,5762
unr_IN,1246524
unx,636523
unx_IN,636523
ur,290790290
ur_CA,286475
ur_GB,2301638
ur_IN,66304500
ur_MU,71727
ur_PK,221825950
uz,26480135
uz_Arab,1722258
uz_Arab_AF,1722258
uz_Cyrl,4590386
uz_Cyrl_CN,5576
uz_Cyrl_UZ,4584810
uz_TM,497576
uz_TR,1968
uz_UZ,25980590
vai,131905
vai_LR,131905
vai_Latn,0
vai_Latn_LR,0
ve,1391759
ve_ZA,1298662
ve_ZW,93096
vec,1380829
vec_BR,508118
vec_HR,29594
vec_IT,811235
vec_MX,2444
vec_SI,29437
vep,3543
vep_RU,3543
vi,86222961
vi_CA,184701
vi_CN,6970
vi_US,1130972
vi_VN,84900318
vic,3113
vic_SX,3113
vls,1172070
vls_BE,1172070
vmf,4809582
vmf_DE,4809582
vmw,3912766
vmw_MZ,3912766
vot,0
vot_RU,0
vro,70031
vro_EE,70031
vun,433290
vun_TZ,433290
wa,679800
wa_BE,679800
wae,11376
wae_CH,10084
wae_LI,1291
wal,1946034
wal_ET,1946034
war,3166927
war_CA,678
war_PH,3166249
wbp,2495
wbp_AU,2495
wbq,2386962
wbq_IN,2386962
wbr,1989135
wbr_IN,1989135
wls,9512
wls_WF,9512
wni,287735
wni_KM,287735
wo,11025493
wo_MR,10013
wo_SN,11015480
wtm,6100014
wtm_IN,6100014
wuu,83641200
wuu_CN,83641200
xav,9950
xav_BR,9950
xh,10182944
xh_LS,19496
xh_ZA,10163448
xmf,439670
xmf_GE,439670
xnr,2121744
xnr_IN,2121744
xog,2292409
xog_UG,2292409
xsr,157705
xsr_NP,157705
yao,722356
yao_MZ,722356
yap,6555
yap_FM,6555
yav,2302
yav_CM,2302
ybb,443920
ybb_CM,443920
yi,997213
yi_IL,260264
yi_SE,2958
yi_UA,570997
yi_US,162993
yo,28685568
yo_BJ,861928
yo_NG,27823640
yrl,26170
yrl_BR,21171
yrl_CO,2994
yrl_VE,2005
yua,861955
yua_MX,861955
yue,7165718
yue_CA,640799
yue_HK,6524919
yue_Hans,72489040
yue_Hans_CN,72489040
za,4321462
za_CN,4321462
zag,232364
zag_SD,232364
zdj,313123
zdj_KM,313123
zea,241925
zea_NL,241925
zgh,7823574
zgh_MA,7823574
zh_Hans,1266066359
zh_Hans_CA,678493
zh_Hans_CN,1254618000
zh_Hans_HK,362495
zh_Hans_MN,44352
zh_Hans_MO,30722
zh_Hans_MY,5550857
zh_Hans_SG,4781438
zh_Hant,38612556
zh_Hant_AU,534796
zh_Hant_BN,51092
zh_Hant_GB,197283
zh_Hant_GF,4987
zh_Hant_HK,6887414
zh_Hant_ID,2456639
zh_Hant_MO,602168
zh_Hant_PA,5841
zh_Hant_PF,23019
zh_Hant_PH,797021
zh_Hant_SR,6705
zh_Hant_TH,1241593
zh_Hant_TW,22422850
zh_Hant_US,2295209
zh_Hant_VN,1085934
zmi,391825
zmi_MY,391825
zu,13973829
zu_LS,275706
zu_MW,69948
zu_MZ,1805
zu_SZ,75104
zu_ZA,13551264
zza,1148244
zza_TR,1148244
