code,population
de_DE,72945327
de_DK,2758622
de_FI,1002900
de_FR,3392410
de_GB,5918499
de_GR,530355
de_HU,1758929
de_IT,998443
de_KZ,1221881
de_LI,39137
de_LT,382404
de_LU,395880
de_NA,23670
de_NL,12269084
de_PL,7273637
de_PY,208559
de_RO,44736
de_SI,883125
de_SK,1196932
de_US,1563403
den,2299
den_CA,2299
dgr,2110
dgr_CA,2110
dje,3871308
dje_NE,3871308
dnj,1099244
dnj_CI,1099244
doi,2652180
doi_IN,2652180
dsb,6973
dsb_DE,6973
dtm,215087
dtm_ML,215087
dtp,182851
dtp_MY,182851
dty,758197
dty_NP,758197
dua,133176
dua_CM,133176
dv,388044
dv_IN,3978
dv_MV,384065
dyo,409146
dyo_SN,409146
dyu,6667328
dyu_BF,6667328
dz,370341
dz_BT,367689
dz_IN,2652
ebu,802918
ebu_KE,802918
ee,4690856
ee_GH,3227422
ee_TG,1463434
efi,2996391
efi_NG,2996391
egl,31201
egl_IT,31201
el,12292240
el_AL,58417
el_CA,124390
el_CY,1203346
el_DE,304606
el_EG,63515
el_GR,10501029
el_IT,21840
el_RO,4047
el_TR,4018
el_UA,7027
en,1636485517
en_AC,930
en_AE,4996040
en_AG,84433
en_AI,17185
en_AR,3183537
en_AS,47953
en_AT,6467398
en_AU,24447840
en_AW,2985
en_BA,1726015
en_BB,294560
en_BD,29277180
en_BE,6915213
en_BG,1741725
en_BI,6288
en_BM,66010
en_BN,7896
en_BR,16937280
en_BS,337721
en_BT,86054
en_BW,1876956
en_BZ,399598
en_CA,32416926
en_CC,101
en_CH,5126433
en_CK,8574
en_CL,1727746
en_CM,10543100
en_CN,62730
en_CQ,482
en_CX,1389
en_CY,924676
en_CZ,2889675
en_DE,51302208
en_DG,495
en_DK,5047692
en_DM,69788
en_DO,7979
en_DZ,3008103
en_EE,614310
en_EG,36443400
en_ER,3587908
en_ES,12003792
en_ET,46488590
en_FI,3900168
en_FJ,879815
en_FK,2814
en_FM,58388
en_FR,26460798
en_GB,64445878
en_GD,108570
en_GG,67052
en_GH,6161442
en_GI,23664
en_GM,869600
en_GR,5409621
en_GU,153321
en_GY,750204
en_HK,3697454
en_HN,40635
en_HR,2071597
en_HU,1954366
en_IE,5073038
en_IL,7374158
en_IM,90499
en_IN,251957100
en_IO,3500
en_IQ,13605445
en_IT,21216918
en_JE,96019
en_JM,2752398
en_JO,4869270
en_KE,10170301
en_KI,111796
en_KN,52744
en_KY,60705
en_KZ,2863785
en_LB,2187844
en_LC,149838
en_LK,2288920
en_LR,4210839
en_LS,531719
en_LT,1037954
en_LU,351893
en_LV,865365
en_MA,4978638
en_MG,4852026
en_MH,72462
en_MO,14132
en_MP,49890
en_MS,3492
en_MT,402394
en_MU,993146
en_MV,293928
en_MW,13353858
en_MX,16724500
en_MY,6856941
en_NA,184104
en_NF,1678
en_NG,113434840
en_NL,15552360
en_NP,909837
en_NR,9350
en_NU,1120
en_NZ,4826970
en_PA,545171
en_PG,3629730
en_PH,69875840
en_PK,116750500
en_PL,12633159
en_PM,187
en_PN,46
en_PR,1562644
en_PT,2781729
en_PW,1886
en_RO,6603899
en_RW,1906860
en_SB,685097
en_SC,36472
en_SD,27792576
en_SE,8774150
en_SG,5774983
en_SH,5424
en_SI,1240581
en_SK,1414556
en_SL,2318725
en_SS,2851524
en_SX,29815
en_SZ,883584
en_Shaw,0
en_Shaw_GB,0
en_TA,272
en_TC,54807
en_TH,18623898
en_TK,1284
en_TO,29706
en_TR,13942975
en_TT,1063735
en_TV,1066
en_TZ,40401432
en_UG,1686867
en_UM,316
en_US,319333440
en_VC,97334
en_VG,36633
en_VI,79676
en_VU,247616
en_WS,4279
en_YE,2689596
en_ZA,17503716
en_ZM,2788256
en_ZW,6109446
eo,301
eo_SM,301
es,493528078
es_AD,33110
es_AR,45479100
es_BO,7100339
es_BR,76217
es_BZ,111887
es_CA,603105
es_CL,17823064
es_CO,45648864
es_CR,4843090
es_CU,11059100
es_CW,5751
es_DE,4809582
es_DO,8189766
es_EA,147000
es_EC,16228704
es_ES,49515642
es_FR,8820266
es_GB,5260888
es_GI,14790
es_GQ,727474
es_GT,15952569
es_HN,7203565
es_IC,2056618
es_MA,23115
es_MX,106779500
es_NI,4838683
es_PA,2686915
es_PE,23297950
es_PH,33846110
es_PR,2774490
es_PT,1030270
es_PY,230134
es_RO,2130290
es_SV,5768179
es_SX,4823
es_TT,4109
es_US,31933344
es_UY,2981096
es_VE,23488572
esu,20956
esu_US,20956
et,878449
et_EE,872320
et_FI,6128
eu,1088518
eu_ES,1000316
eu_FR,88202
ewo,860095
ewo_CM,860095
ext,245077
ext_ES,245077
fa,84710458
fa_AE,189849
fa_AF,18321900
fa_CA,245011
fa_IQ,338192
fa_IR,63692475
fa_OM,43849
fa_PK,1541106
fa_QA,268858
fa_TJ,69214
fan,426450
fan_GQ,426450
fbl,2511163
fbl_PH,2511163
ff,7788902
ff_Adlm,1
ff_Adlm_BF,0
ff_Adlm_CM,0
ff_Adlm_GH,0
ff_Adlm_GM,0
ff_Adlm_GN,0
ff_Adlm_GW,1
ff_Adlm_LR,0
ff_Adlm_MR,0
ff_Adlm_NE,0
ff_Adlm_NG,0
ff_Adlm_SL,0
ff_Adlm_SN,0
ff_BF,0
ff_CM,998820
ff_GH,0
ff_GM,0
ff_GN,3257124
ff_GW,1
ff_LR,0
ff_MR,228312
ff_NE,0
ff_NG,0
ff_SL,0
ff_SN,3304644
ffm,1505611
ffm_ML,1505611
fi,5736841
fi_EE,258010
fi_FI,5237369
fi_RU,17006
fi_SE,224455
fia,378161
fia_SD,378161
fil,67471095
fil_CA,565411
fil_PH,65508600
fil_US,1397083
fit,56113
fit_SE,56113
fj,365029
fj_FJ,365029
fo,71350
fo_DK,22303
fo_FO,49046
fon,3216150
fon_BJ,3216150
fr,278611506
fr_AD,5775
fr_AT,974539
fr_BE,4453866
fr_BF,4583788
fr_BI,7000822
fr_BJ,4502610
fr_BL,6837
fr_CA,11308230
fr_CD,3867640
fr_CF,2935521
fr_CG,4446178
fr_CH,1764837
fr_CI,13465739
fr_CM,18866600
fr_CY,88667
fr_DE,14428746
fr_DJ,19357
fr_DZ,8594580
fr_FR,67169718
fr_GA,1405473
fr_GB,15125053
fr_GF,153621
fr_GN,3632945
fr_GP,407498
fr_GQ,73583
fr_GR,954639
fr_HT,520186
fr_HU,293154
fr_IE,880016
fr_IT,3931370
fr_KM,473917
fr_LB,20237
fr_LU,546691
fr_MA,7112340
fr_MC,38610
fr_MF,32556
fr_MG,18599433
fr_ML,8994564
fr_MQ,427408
fr_MR,680931
fr_MT,50299
fr_MU,41381
fr_NC,278408
fr_NE,6603996
fr_NL,5011316
fr_PF,180023
fr_PM,5133
fr_PT,1545405
fr_RE,700949
fr_RO,3621493
fr_RW,2288
fr_SC,57588
fr_SN,6137196
fr_SY,1144505
